PARSE TREE:
Lexeme: declare, Line no: 1, Tk_name: DECLARE, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: ;, Line no: 25, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: SEMICOL
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: end, Line no: 26, Tk_name: statements, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: iterativeStmt, IsLeaf: NO, NodeSymbol: START
Lexeme: <<<, Line no: 27, Tk_name: DRIVERDEF, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: iterativeStmt, IsLeaf: NO, NodeSymbol: statements
Lexeme: driver, Line no: 27, Tk_name: DRIVER, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: program, Line no: 27, Tk_name: PROGRAM, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: >>>, Line no: 27, Tk_name: DRIVERENDDEF, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: start, Line no: 28, Tk_name: START, ValueIfNumber: ----, Parent: moduleDef, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: moduleDef
Lexeme: declare, Line no: 29, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: A, Line no: 29, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 29, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: array, Line no: 29, Tk_name: ARRAY, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: dataType
Lexeme: [, Line no: 29, Tk_name: SQBO, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: range
Lexeme: ----, Line no: 29, Tk name: NUM, ValueIfNumber: 1, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: .., Line no: 29, Tk_name: RANGEOP, ValueIfNumber: ----, Parent: range, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: 29, Tk name: NUM, ValueIfNumber: 15, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: ], Line no: 29, Tk_name: SQBC, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: of, Line no: 29, Tk_name: OF, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: real, Line no: 29, Tk_name: REAL, ValueIfNumber: ----, Parent: type, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: type
Lexeme: ;, Line no: 29, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleDef, IsLeaf: NO, NodeSymbol: statements
Lexeme: declare, Line no: 30, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: k, Line no: 30, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 30, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: integer, Line no: 30, Tk_name: INTEGER, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ;, Line no: 30, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: declare, Line no: 31, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: s, Line no: 31, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 31, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: real, Line no: 31, Tk_name: REAL, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ;, Line no: 31, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: get_value, Line no: 32, Tk_name: GET_VALUE, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 32, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: k, Line no: 32, Tk_name: ID, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ), Line no: 32, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 32, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleReuseStmt, IsLeaf: NO, NodeSymbol: optional
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: moduleReuseStmt
Lexeme: use, Line no: 33, Tk_name: USE, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: module, Line no: 33, Tk_name: MODULE, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: readArr, Line no: 33, Tk_name: ID, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 33, Tk_name: WITH, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: [, Line no: 34, Tk_name: SQBO, ValueIfNumber: ----, Parent: optional, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleReuseStmt, IsLeaf: NO, NodeSymbol: optional
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: s, Line no: 34, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: optional, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: ], Line no: 34, Tk_name: SQBC, ValueIfNumber: ----, Parent: optional, YES, NodeSymbol: ----
Lexeme: :=, Line no: 34, Tk_name: ASSIGNOP, ValueIfNumber: ----, Parent: optional, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: moduleReuseStmt
Lexeme: use, Line no: 34, Tk_name: USE, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: module, Line no: 34, Tk_name: MODULE, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: arraySum, Line no: 34, Tk_name: ID, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: with, Line no: 34, Tk_name: WITH, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: parameters, Line no: 34, Tk_name: PARAMETERS, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: A, Line no: 34, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleReuseStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ,, Line no: 34, Tk_name: COMMA, ValueIfNumber: ----, Parent: moreId, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreId, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: k, Line no: 34, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreId, IsLeaf: NO, NodeSymbol: moreId
Lexeme: ;, Line no: 34, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: moduleReuseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: simpleStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: PARAMETERS, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleReuseStmt, IsLeaf: NO, NodeSymbol: PARAMETERS
Lexeme: s, Line no: 35, Tk_name: ID, ValueIfNumber: ----, Parent: assignmentStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: assignmentStmt
Lexeme: :=, Line no: 35, Tk_name: ASSIGNOP, ValueIfNumber: ----, Parent: lvalueIDStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: whichStmt, IsLeaf: NO, NodeSymbol: lvalueIDStmt
Lexeme: s, Line no: 35, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: nextTerm, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: nextTerm
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: term
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: a2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: anyTerm, IsLeaf: NO, NodeSymbol: arithmeticExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: a1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, IsLeaf: NO, NodeSymbol: anyTerm
Lexeme: <=, Line no: 35, Tk_name: LE, ValueIfNumber: ----, Parent: relationalOp, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ab2, IsLeaf: NO, NodeSymbol: relationalOp
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: anyTerm, IsLeaf: NO, NodeSymbol: ab2
Lexeme: n, Line no: 35, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: nextTerm, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: nextTerm
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: term
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: a2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ab2, IsLeaf: NO, NodeSymbol: arithmeticExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: a1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: expression, IsLeaf: NO, NodeSymbol: arithmeticOrBooleanExpr
Lexeme: ;, Line no: 35, Tk_name: ab1, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: lvalueIDStmt, IsLeaf: NO, NodeSymbol: expression
Lexeme: print, Line no: 36, Tk_name: PRINT, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 36, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: s, Line no: 36, Tk_name: ID, ValueIfNumber: ----, Parent: print_var, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: print_var
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: print_var, IsLeaf: NO, NodeSymbol: whichId2
Lexeme: ), Line no: 36, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: SEMICOL
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: SEMICOL, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: lvalueIDStmt, IsLeaf: NO, NodeSymbol: SEMICOL
Lexeme: end, Line no: 37, Tk_name: statements, ValueIfNumber: ----, Parent: SEMICOL, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: assignmentStmt, IsLeaf: NO, NodeSymbol: whichStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: simpleStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: PARAMETERS, IsLeaf: NO, NodeSymbol: statements
Lexeme: <<, Line no: 44, Tk_name: DEF, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: module
Lexeme: module, Line no: 44, Tk_name: MODULE, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: readArr, Line no: 44, Tk_name: ID, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: >>, Line no: 44, Tk_name: ENDDEF, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: takes, Line no: 45, Tk_name: TAKES, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: input, Line no: 45, Tk_name: INPUT, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: [, Line no: 45, Tk_name: SQBO, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: arr1, Line no: 45, Tk_name: ID, ValueIfNumber: ----, Parent: input_plist, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: input_plist
Lexeme: :, Line no: 45, Tk_name: COLON, ValueIfNumber: ----, Parent: input_plist, YES, NodeSymbol: ----
Lexeme: array, Line no: 45, Tk_name: ARRAY, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: input_plist, IsLeaf: NO, NodeSymbol: dataType
Lexeme: [, Line no: 45, Tk_name: SQBO, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: range
Lexeme: ----, Line no: 45, Tk name: NUM, ValueIfNumber: 1, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: .., Line no: 45, Tk_name: RANGEOP, ValueIfNumber: ----, Parent: range, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: 45, Tk name: NUM, ValueIfNumber: 15, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: ], Line no: 45, Tk_name: SQBC, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: of, Line no: 45, Tk_name: OF, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: real, Line no: 45, Tk_name: REAL, ValueIfNumber: ----, Parent: type, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: type
Lexeme: ,, Line no: 45, Tk_name: COMMA, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: input_plist, IsLeaf: NO, NodeSymbol: moreList
Lexeme: k, Line no: 45, Tk_name: ID, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: :, Line no: 45, Tk_name: COLON, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: integer, Line no: 45, Tk_name: INTEGER, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreList, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreList, IsLeaf: NO, NodeSymbol: moreList
Lexeme: ], Line no: 45, Tk_name: SQBC, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: ;, Line no: 45, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: ret
Lexeme: start, Line no: 46, Tk_name: START, ValueIfNumber: ----, Parent: moduleDef, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: moduleDef
Lexeme: declare, Line no: 47, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: tempvar, Line no: 47, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 47, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 47, Tk_name: dataType, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: declare, Line no: 48, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
